869-1101,菊池郡菊陽町津久礼７９２－２１,,,株式会社　東築建設,428,1,2024 年 03 月 31 日,,,
3月20日,1009766,熊本3号植木バイパス保全工事,658,,254,割増 試験一式,1,12000,12000,
3月20日,1009766,熊本3号植木バイパス保全工事,658,,421,割増 塩分試験一式,1,3000,3000,
3月21日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,283,30  -18  -20 -BB,57,19100,1088700,
3月21日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,204,試験一式,1,8000,8000,
3月21日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,321,塩分試験一式,1,2000,2000,
3月21日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,224,外部試験代行(圧縮),1,8000,8000,
3月21日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
3月23日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,283,30  -18  -20 -BB,57.25,19100,1093475,
3月23日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,204,試験一式,1,8000,8000,
3月23日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,224,外部試験代行(圧縮),1,8000,8000,
3月23日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,321,塩分試験一式,1,2000,2000,
3月23日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
3月26日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,283,30  -18  -20 -BB,57.25,19100,1093475,
3月26日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,204,試験一式,1,8000,8000,
3月26日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,224,外部試験代行(圧縮),1,8000,8000,
3月26日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,321,塩分試験一式,1,2000,2000,
3月26日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
3月27日,1011007,菊陽造成工事,658,,224,18  -10  -20 -BB,5,19100,95500,工場渡し
3月28日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,283,30  -18  -20 -BB,57.5,19100,1098250,
3月28日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,204,試験一式,1,8000,8000,
3月28日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,321,塩分試験一式,1,2000,2000,
3月28日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,224,外部試験代行(圧縮),1,8000,8000,
3月28日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
3月29日,1015745,甲佐町中山,658,,222,18  -5   -20 -BB,1.75,19100,33425,工場渡し
3月29日,1015745,甲佐町中山,658,,223,18  -8   -20 -BB,1,19100,19100,工場渡し
3月30日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,283,30  -18  -20 -BB,57.5,19100,1098250,
3月30日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,204,試験一式,1,8000,8000,
3月30日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,224,外部試験代行(圧縮),1,8000,8000,
3月30日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,321,塩分試験一式,1,2000,2000,
3月30日,5669,益城中央線交通安全対策補助(馬水橋下部工,658,,326,単位水量ｴｱﾒｰﾀ,1,5000,5000,
,,,,,,【合    計】,394.25,,7640275,
1092575,1092575,0,7640275,764027,8404302,8404302,330,1092245,,
861-3546,上益城郡山都町南田２２０－１,,,矢部開発　株式会社,658,2,2024 年 03 月 31 日,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,392.5,,7597100,
,,,,,,　,,,,
861-8041,熊本市東区戸島１－８－２７,,,株式会社　東和,433,1,2024 年 03 月 31 日,,,
3月2日,1015639,JA熊本市天明支店新築工事（設備工事）,433,,54,24  -15  -20 -N,7,22900,160300,
3月4日,1015639,JA熊本市天明支店新築工事（設備工事）,433,,54,24  -15  -20 -N,0.75,22900,17175,
3月4日,,JA熊本市天明支店新築工事（設備工事）,433,,,空積料,1台,2500,2500,
3月6日,114472,山都町,433,,40,21  -15  -20 -N,0.25,21500,5375,工場渡し
3月6日,1010033,黒田邸,433,,39,21  -12  -20 -N,0.5,21400,10700,工場渡し
3月6日,1015661,御船町消防団第2分団第1班滝尾詰所浄化槽設置工事,433,,40,21  -15  -20 -N,1,25000,25000,小型割増
3月6日,,御船町消防団第2分団第1班滝尾詰所浄化槽設置工事,433,,,空積料,1台,2500,2500,
3月8日,114482,御船町消防団第2分団第1班滝尾詰所浄化槽設置工事,433,,40,21  -15  -20 -N,0.5,25000,12500,小型割増
3月8日,,御船町消防団第2分団第1班滝尾詰所浄化槽設置工事,433,,,空積料,1台,2500,2500,
3月13日,1015639,JA熊本市天明支店新築工事（設備工事）,433,,54,24  -15  -20 -N,5.5,22900,125950,
3月14日,1000169,西原,433,,39,21  -12  -20 -N,0.3,21400,6420,工場渡し
3月16日,1022983,寺岡様邸,433,,39,21  -12  -20 -N,2,24900,49800,小型割増
3月18日,114516,嘉島町（外村様邸）,433,,40,21  -15  -20 -N,0.25,21500,5375,工場渡し
3月19日,1022993,戸島,433,,39,21  -12  -20 -N,0.5,21400,10700,工場渡し
3月22日,1010101,安武様邸,433,,40,21  -15  -20 -N,0.5,25000,12500,小型割増
3月22日,,安武様邸,433,,,空積料,1台,2500,2500,
3月25日,1033837,和泉　安武邸,433,,40,21  -15  -20 -N,0.25,21500,5375,工場渡し
3月27日,1010169,植木　江崎邸,433,,39,21  -12  -20 -N,0.5,24900,12450,小型割増
3月27日,,植木　江崎邸,433,,,空積料,1台,2500,2500,
3月29日,1015746,嘉島町,433,,562,回収砂積込,1,1500,1500,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,19.8,,473620,
166732,166732,0,473620,47362,520982,520982,330,166402,,
861-2235,上益城郡益城町福富７１９,,,有限会社　冨田産業,443,1,2024 年 03 月 31 日,,,
3月1日,9012119,益城菊陽線防災安全交付金(交通安全)その1,443,,237,21  -8   -20 -BB,0.35,16800,5880,工場渡し
3月2日,1015650,益城町菊陽線,443,,562,回収砂積込,1,1500,1500,
3月11日,9012119,益城菊陽線防災安全交付金(交通安全)その1,443,,9103,1:3 -ﾓﾙﾀﾙ -N,0.5,26200,13100,工場渡し
3月16日,9012119,益城菊陽線防災安全交付金(交通安全)その1,443,,237,21  -8   -20 -BB,0.3,16800,5040,工場渡し
3月28日,9012119,益城菊陽線防災安全交付金(交通安全)その1,443,,237,21  -8   -20 -BB,2,17800,35600,
3月28日,9012119,益城菊陽線防災安全交付金(交通安全)その1,443,,237,21  -8   -20 -BB,0.5,17800,8900,
3月28日,,益城菊陽線防災安全交付金(交通安全)その1,443,,,空積料,1台,2500,2500,
3月29日,9012119,益城菊陽線防災安全交付金(交通安全)その1,443,,237,21  -8   -20 -BB,2,17800,35600,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,5.65,,108120,
594088,464519,129569,108120,10812,118932,248501,0,464519,,
861-1323,菊池市西寺1725-5,,,昌栄建設　株式会社,5346,1,2024 年 03 月 31 日,,,
2/2,1000001,鉾の甲川防災・安全交付金（緊急改築）既設えん堤補強工事　他合併,5346,,886,21  -5   -40 -H,4.00,23650,94600,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,【合    計】,4.00,,94600,
0,0,0,94600,9460,104060,104060,0,0,,
"860-0082","熊本市西区池田１－１５－６５","","","葛城建設工業 株式会社","00119","1","2024 年 03 月 31 日",""
"3/ 2","1006892","四方寄町（葛城班）","00119","","0224","18  -10  -20 -BB","3.75","20300","76125",""
"3/ 2","1008781","城山半田３丁目宅地造成工事(葛城班)","00119","","0226","18  -15  -20 -BB","1.25","19400","24250","工場渡し"
"3/ 2","1009992","四方寄町（芳野班）","00119","","0223","18  -8   -20 -BB","3.50","20300","71050",""
"3/ 2","1033685","梶尾町","00119","","0223","18  -8   -20 -BB","0.50","20300","10150",""
"3/ 2","","梶尾町","00119","","","空積料","1台","2500","2500",""
"3/ 4","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","0.75","19300","14475","工場渡し"
"3/ 4","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","0.50","20300","10150",""
"3/ 4","","益城クリニック外構工事","00119","","","空積料","1台","2500","2500",""
"3/ 4","1022886","ジョイナス武蔵塚公園南宅地造成工事","00119","","0223","18  -8   -20 -BB","8.50","20300","172550",""
"3/ 6","1007722","鎮西高等学校","00119","","0223","18  -8   -20 -BB","1.75","22800","39900","小型割増"
"3/ 6","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","0.75","19300","14475","工場渡し"
"3/ 7","0114494","益城クリニック","00119","","0240","21  -15  -20 -BB","5.50","20900","114950",""
"3/ 7","1008781","城山半田３丁目宅地造成工事(葛城班)","00119","","0224","18  -10  -20 -BB","1.25","19300","24125","工場渡し"
"3/ 7","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","0.50","20300","10150",""
"3/ 7","","益城クリニック外構工事","00119","","","空積料","1台","2500","2500",""
"3/ 8","1006892","四方寄町（葛城班）","00119","","0239","21  -12  -20 -BB","7.00","20800","145600",""
"3/ 8","1009992","四方寄町（芳野班）","00119","","0223","18  -8   -20 -BB","1.50","20300","30450",""
"3/ 9","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","0.50","19300","9650","工場渡し"
"3/11","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","1.00","19800","19800","舟貸出し"
"3/12","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","1.00","19800","19800","舟貸出し"
"3/13","0114494","益城クリニック","00119","","0240","21  -15  -20 -BB","3.00","20900","62700",""
"3/13","1006892","四方寄(葛城班)","00119","","0225","18  -12  -20 -BB","2.00","20300","40600",""
"3/13","1022886","ジョイナス武蔵塚公園南宅地造成工事","00119","","0223","18  -8   -20 -BB","20.25","20300","411075",""
"3/14","1009992","四方寄町（芳野班）","00119","","0223","18  -8   -20 -BB","1.50","20300","30450",""
"3/14","1022770","益城クリニック外構工事","00119","","0223","18  -8   -20 -BB","0.50","19800","9900","舟貸出し"
"3/15","1006892","四方寄(葛城班)","00119","","0224","18  -10  -20 -BB","1.50","20300","30450",""
"3/15","1007722","鎮西高等学校","00119","","0223","18  -8   -20 -BB","4.00","22800","91200","小型割増"
"3/16","1008781","城山半田３丁目宅地造成工事(葛城班)","00119","","0224","18  -10  -20 -BB","0.75","19300","14475","工場渡し"
"3/19","1007722","鎮西高等学校","00119","","0223","18  -8   -20 -BB","0.75","22800","17100","小型割増"
"3/19","","鎮西高等学校","00119","","","空積料","1台","2500","2500",""
"3/19","1022886","ジョイナス武蔵塚公園南宅地造成工事","00119","","0223","18  -8   -20 -BB","1.00","20300","20300",""
"3/19","","ジョイナス武蔵塚公園南宅地造成工事","00119","","","空積料","1台","2500","2500",""
"3/22","1008781","城山半田３丁目宅地造成工事(葛城班)","00119","","0224","18  -10  -20 -BB","4.00","19300","77200","工場渡し"
"3/22","1009992","四方寄町（芳野班）","00119","","0224","18  -10  -20 -BB","8.00","20300","162400",""
"3/29","1006892","四方寄町（葛城班）","00119","","0225","18  -12  -20 -BB","2.25","20300","45675",""
"3/30","1009017","春日","00119","","0223","18  -8   -20 -BB","1.00","19300","19300","工場渡し"
"3/30","1022886","ジョイナス武蔵塚公園南宅地造成工事","00119","","0223","18  -8   -20 -BB","1.00","20300","20300",""
"3/30","","ジョイナス武蔵塚公園南宅地造成工事","00119","","","空積料","1台","2500","2500",""
"3/30","1033685","梶尾町","00119","","0223","18  -8   -20 -BB","0.75","19300","14475","工場渡し"
"","","","","","","","","","",""
"","","","","","","【合    計】","91.75","","1890250",""
"1492480","335775","1156705","1890250","189025","2079275","3235980","0","335775"
"860-0863","熊本市中央区坪井６丁目１７－１５","","","株式会社　木村建設　（坪井）","00147","1","2024 年 03 月 31 日",""
"3/ 8","1019964","熊Ｋ（仮称託麻西小学校対策1019790）基新","00147","","0054","24  -15  -20 -N","1.25","23700","29625","小型割増"
"3/ 8","","熊Ｋ（仮称託麻西小学校対策1019790）基新","00147","","","空積料","1台","2500","2500",""
"3/21","1008993","日吉　肝付航平様・瑠奈様邸新築工事","00147","","0040","21  -15  -20 -N","2.25","23300","52425","小型割増"
"3/27","1010170","熊野坐神社境界擁壁工事","00147","","0055","24  -18  -20 -N","0.75","23700","17775","小型割増"
"3/27","","熊野坐神社境界擁壁工事","00147","","","空積料","1台","2500","2500",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","【合    計】","4.25","","104825",""
"655655","655655","0","104825","10482","115307","115307","550","655105"
"862-0972","熊本市中央区新大江２－２－２１","","","株式会社　冨坂建設","00440","1","2024 年 03 月 31 日",""
"3/ 1","0005625","キャッスル保田窪1丁目","00440","","0026","18  -15  -20 -N","1.50","17500","26250",""
"3/ 2","0005625","キャッスル保田窪1丁目","00440","","0026","18  -15  -20 -N","3.00","20000","60000","小型割増"
"3/ 2","0005655","広崎第二保育園新築工事","00440","","0041","21  -18  -20 -N","26.00","18000","468000",""
"3/ 4","0005586","金澤様邸新築工事","00440","","0026","18  -15  -20 -N","1.00","18000","18000","小型割増"
"3/ 4","","金澤様邸新築工事","00440","","","空積料","1台","2500","2500",""
"3/ 7","0005655","広崎第二保育園新築工事","00440","","0026","18  -15  -20 -N","1.50","17500","26250",""
"3/ 8","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0097","33  -18  -20 -N","100.75","19900","2004925",""
"3/ 8","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0204","試験一式","1.00","8000","8000",""
"3/ 8","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0312","追加採取","1.00","3000","3000",""
"3/ 8","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0321","塩分試験一式","1.00","2000","2000",""
"3/ 9","0005655","広崎第二保育園新築工事","00440","","0040","21  -15  -20 -N","8.00","18000","144000",""
"3/12","0005655","広崎第二保育園新築工事","00440","","0055","24  -18  -20 -N","2.75","18400","50600",""
"3/14","0005586","金澤様邸新築工事","00440","","0026","18  -15  -20 -N","6.00","18000","108000","小型割増"
"3/14","0005586","金澤様邸新築工事","00440","","0026","18  -15  -20 -N","0.50","18000","9000","小型割増"
"3/14","","金澤様邸新築工事","00440","","","空積料","1台","2500","2500",""
"3/18","0005716","真宗寺別館新築工事","00440","","0069","27  -18  -20 -N","47.00","21400","1005800","小型割増"
"3/18","0005716","真宗寺別館新築工事","00440","","0204","試験一式","1.00","8000","8000",""
"3/18","0005716","真宗寺別館新築工事","00440","","0312","追加採取","1.00","3000","3000",""
"3/18","0005716","真宗寺別館新築工事","00440","","0321","塩分試験一式","1.00","2000","2000",""
"3/19","0005586","金澤様邸新築工事","00440","","0026","18  -15  -20 -N","2.00","18000","36000","小型割増"
"3/19","1010286","かおるこども園","00440","","0027","18  -18  -20 -N","2.00","23000","46000","小型割増"
"3/22","0005586","金澤様邸新築工事","00440","","0026","18  -15  -20 -N","4.25","18000","76500","小型割増"
"3/22","0005586","金澤様邸新築工事","00440","","0223","18  -8   -20 -BB","2.00","17800","35600","小型割増"
"3/22","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0083","30  -18  -20 -N","103.00","19400","1998200",""
"3/22","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0204","試験一式","1.00","8000","8000",""
"3/22","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0312","追加採取","1.00","3000","3000",""
"3/22","0005673","(仮称)キャッスル近見2丁目新築工事","00440","","0321","塩分試験一式","1.00","2000","2000",""
"3/25","0005952","(仮称)キャッスル清水本町新築工事","00440","","0522","水積込(2ｔ以下)","3.00","1000","3000",""
"3/26","0005952","(仮称)キャッスル清水本町新築工事","00440","","0522","水積込(2ｔ以下)","4.00","1000","4000",""
"3/27","0005952","(仮称)キャッスル清水本町新築工事","00440","","0522","水積込(2ｔ以下)","3.00","1000","3000",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","【合    計】","311.25","","6167125",""
"8603980","8603980","0","6167125","616712","6783837","6783837","0","8603980"
"862-0911","熊本市東区健軍２丁目２５番１号","","","株式会社　バンズ","00503","1","2024 年 03 月 31 日",""
"3/ 2","0005643","きよめこども園","00503","","0040","21  -15  -20 -N","1.25","20300","25375","小型割増"
"3/ 2","","きよめこども園","00503","","","空積料","1台","2500","2500",""
"3/ 2","0005801","大津中島皮膚科新築工事","00503","","0026","18  -15  -20 -N","0.50","20300","10150",""
"3/ 2","","大津中島皮膚科新築工事","00503","","","空積料","1台","2500","2500",""
"3/ 5","0005801","大津中島皮膚科新築工事","00503","","0040","21  -15  -20 -N","1.50","23300","34950","小型割増"
"3/ 5","0005801","大津中島皮膚科新築工事","00503","","0324","外部試験代行(圧縮)","1.00","10000","10000","2/3分"
"3/13","0005801","大津中島皮膚科新築工事","00503","","0040","21  -15  -20 -N","1.50","23300","34950","小型割増"
"3/13","1020082","堀様邸（上南部）","00503","","0026","18  -15  -20 -N","2.70","22800","61560","小型割増"
"3/18","0005801","大津中島皮膚科新築工事","00503","","0040","21  -15  -20 -N","1.00","23300","23300","小型割増"
"3/18","","大津中島皮膚科新築工事","00503","","","空積料","1台","2500","2500",""
"3/22","0005801","大津中島皮膚科新築工事","00503","","0026","18  -15  -20 -N","2.00","22800","45600","小型割増"
"3/26","0005801","大津中島皮膚科新築工事","00503","","0026","18  -15  -20 -N","1.50","20300","30450",""
"3/26","","大津中島皮膚科新築工事","00503","","","空積料","2台","2500","5000",""
"3/27","0005801","大津中島皮膚科新築工事","00503","","0040","21  -15  -20 -N","16.00","20800","332800",""
"3/30","1023051","長嶺西2丁目12-23　宮崎様邸","00503","","0026","18  -15  -20 -N","3.00","22800","68400","小型割増"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","【合    計】","30.95","","690035",""
"2227252","2227252","0","690035","69003","759038","759038","330","2226922"
